side,entry_minute,entry_improve_cents,ttl_minutes,max_entry_spread_cents,attempts,fills,fill_rate,win_rate_given_fill,mean_entry_px_filled,mean_settle_pnl_cents_per_fill,mean_settle_pnl_cents_per_attempt,ev_cents_per_hour_per_contract
YES,0,0,3,40,54,25,0.46296296296296297,0.56,48.88,7.12,3.2962962962962963,13.185185185185185
YES,0,1,3,40,54,25,0.46296296296296297,0.56,49.36,6.64,3.074074074074074,12.296296296296296
YES,0,2,2,40,54,25,0.46296296296296297,0.56,49.88,6.12,2.8333333333333335,11.333333333333334
YES,0,0,2,40,54,24,0.4444444444444444,0.5416666666666666,47.916666666666664,6.25,2.7777777777777777,11.11111111111111
YES,0,1,2,40,54,24,0.4444444444444444,0.5416666666666666,48.375,5.791666666666667,2.574074074074074,10.296296296296296
YES,0,0,1,40,54,20,0.37037037037037035,0.5,44.5,5.5,2.037037037037037,8.148148148148149
YES,0,2,3,40,54,26,0.48148148148148145,0.5384615384615384,50.38461538461539,3.4615384615384617,1.6666666666666667,6.666666666666667
YES,0,1,1,40,54,21,0.3888888888888889,0.47619047619047616,45.714285714285715,1.9047619047619047,0.7407407407407407,2.962962962962963
YES,0,2,1,40,54,21,0.3888888888888889,0.47619047619047616,46.142857142857146,1.4761904761904763,0.5740740740740741,2.2962962962962963
YES,14,0,1,40,3320,1477,0.44487951807228915,0.10223425863236289,13.163845633039946,-2.9404197698036563,-1.308132530120482,-5.232530120481928
YES,14,0,2,40,3320,1477,0.44487951807228915,0.10223425863236289,13.163845633039946,-2.9404197698036563,-1.308132530120482,-5.232530120481928
YES,14,0,3,40,3320,1477,0.44487951807228915,0.10223425863236289,13.163845633039946,-2.9404197698036563,-1.308132530120482,-5.232530120481928
NO,14,0,1,40,3320,1496,0.4506024096385542,0.11096256684491979,14.014705882352942,-2.9184491978609626,-1.3150602409638554,-5.260240963855422
NO,14,0,2,40,3320,1496,0.4506024096385542,0.11096256684491979,14.014705882352942,-2.9184491978609626,-1.3150602409638554,-5.260240963855422
NO,14,0,3,40,3320,1496,0.4506024096385542,0.11096256684491979,14.014705882352942,-2.9184491978609626,-1.3150602409638554,-5.260240963855422
YES,14,1,1,40,3320,1518,0.4572289156626506,0.11923583662714098,14.932806324110672,-3.0092226613965742,-1.3759036144578314,-5.5036144578313255
YES,14,1,2,40,3320,1518,0.4572289156626506,0.11923583662714098,14.932806324110672,-3.0092226613965742,-1.3759036144578314,-5.5036144578313255
YES,14,1,3,40,3320,1518,0.4572289156626506,0.11923583662714098,14.932806324110672,-3.0092226613965742,-1.3759036144578314,-5.5036144578313255
YES,8,2,1,40,3726,2205,0.5917874396135265,0.4376417233560091,46.17324263038549,-2.4090702947845806,-1.4256575415995705,-5.702630166398282
NO,14,1,1,40,3320,1541,0.4641566265060241,0.12524334847501623,15.608695652173912,-3.084360804672291,-1.4316265060240965,-5.726506024096386
NO,14,1,2,40,3320,1541,0.4641566265060241,0.12524334847501623,15.608695652173912,-3.084360804672291,-1.4316265060240965,-5.726506024096386
NO,14,1,3,40,3320,1541,0.4641566265060241,0.12524334847501623,15.608695652173912,-3.084360804672291,-1.4316265060240965,-5.726506024096386
YES,2,0,1,40,3722,2001,0.5376141859215475,0.44677661169415295,47.39530234882559,-2.717641179410295,-1.4610424502955401,-5.844169801182161
YES,4,1,1,40,3731,2148,0.5757169659608684,0.44972067039106145,47.5572625698324,-2.585195530726257,-1.4883409273653176,-5.953363709461271
YES,14,2,1,40,3320,1543,0.4647590361445783,0.12637718729747247,15.843810758263123,-3.206092028515878,-1.4900602409638555,-5.960240963855422
YES,14,2,2,40,3320,1543,0.4647590361445783,0.12637718729747247,15.843810758263123,-3.206092028515878,-1.4900602409638555,-5.960240963855422
YES,14,2,3,40,3320,1543,0.4647590361445783,0.12637718729747247,15.843810758263123,-3.206092028515878,-1.4900602409638555,-5.960240963855422
YES,4,0,1,40,3731,1917,0.5138032699008309,0.43766301512780387,46.731872717788214,-2.9655712050078247,-1.5237201822567676,-6.094880729027071
NO,14,2,1,40,3320,1584,0.4771084337349398,0.13383838383838384,16.578914141414142,-3.195075757575758,-1.5243975903614457,-6.097590361445783
NO,14,2,2,40,3320,1584,0.4771084337349398,0.13383838383838384,16.578914141414142,-3.195075757575758,-1.5243975903614457,-6.097590361445783
NO,14,2,3,40,3320,1584,0.4771084337349398,0.13383838383838384,16.578914141414142,-3.195075757575758,-1.5243975903614457,-6.097590361445783
YES,4,2,1,40,3731,2300,0.6164567140176896,0.45695652173913043,48.192608695652176,-2.4969565217391305,-1.5392656124363442,-6.157062449745377
NO,8,0,1,40,3726,1917,0.5144927536231884,0.4126238914971309,44.30046948356807,-3.0380803338549818,-1.5630703166935052,-6.252281266774021
YES,8,1,1,40,3726,2053,0.5509930220075148,0.42669264490988795,45.51680467608378,-2.847540185094983,-1.5689747718733227,-6.275899087493291
