minute,n,p50,p75,p90,p95,p99,max
0,3776,87.0,99.0,99.0,99.0,100.0,100.0
1,3769,4.0,12.0,25.0,27.0,78.24000000000115,100.0
2,3763,3.0,5.0,15.0,22.0,43.0,100.0
3,3762,3.0,5.0,16.0,21.0,34.0,100.0
4,3759,3.0,5.0,15.0,21.0,33.0,100.0
5,3758,3.0,5.0,14.0,19.0,33.429999999999836,100.0
6,3757,3.0,5.0,15.0,20.0,35.0,100.0
7,3756,3.0,5.0,14.0,19.0,34.44999999999982,100.0
8,3754,3.0,6.0,14.0,19.0,32.0,100.0
9,3749,3.0,5.0,13.0,19.0,31.0,100.0
10,3741,3.0,5.0,13.0,18.0,30.59999999999991,100.0
11,3726,2.0,5.0,12.0,18.0,30.0,100.0
12,3706,2.0,6.0,13.0,18.0,33.0,100.0
13,3667,2.0,5.0,13.0,19.0,41.0,100.0
14,3487,2.0,9.0,24.0,39.0,95.0,100.0
