side,entry_minute,entry_improve_cents,ttl_minutes,tp_cents,stop_minute,stop_exit_ttl_minutes,stop_exit_improve_cents,max_entry_spread_cents,max_stop_spread_cents,fallback,attempts,fills,fill_rate,exits,exit_rate_given_fill,mean_entry_px_filled,mean_fill_minute,win_rate_given_fill,mean_settle_pnl_cents_per_fill,mean_pnl_cents_per_attempt,mean_pnl_cents_per_fill,ev_cents_per_hour_per_contract
NO,8,0,1,0,13,1,1,30,40,taker_exit,584,296,0.5068493150684932,293,0.9898648648648649,44.76013513513514,8,0.43243243243243246,-1.5168918918918919,-2.1575342465753424,-4.256756756756757,-8.63013698630137
NO,8,0,1,0,13,1,2,40,30,taker_exit,590,297,0.5033898305084745,291,0.9797979797979798,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-2.188135593220339,-4.346801346801347,-8.752542372881356
NO,8,2,1,0,13,1,0,30,20,taker_exit,584,362,0.6198630136986302,351,0.9696132596685083,45.95303867403315,8,0.45027624309392267,-0.925414364640884,-2.458904109589041,-3.9668508287292816,-9.835616438356164
NO,8,0,1,0,13,2,1,20,30,taker_exit,562,293,0.5213523131672598,290,0.9897610921501706,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.5106761565836297,-4.815699658703072,-10.042704626334519
NO,9,0,1,3,10,1,2,40,30,taker_exit,589,303,0.5144312393887945,302,0.9966996699669967,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.512733446519525,-4.884488448844884,-10.0509337860781
NO,8,0,1,0,13,2,0,20,20,taker_exit,562,293,0.5213523131672598,286,0.9761092150170648,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.51423487544484,-4.822525597269625,-10.05693950177936
NO,8,2,1,0,13,1,0,30,30,taker_exit,584,362,0.6198630136986302,356,0.9834254143646409,45.95303867403315,8,0.45027624309392267,-0.925414364640884,-2.530821917808219,-4.082872928176796,-10.123287671232877
NO,9,0,1,2,10,1,2,30,30,taker_exit,581,303,0.5215146299483648,302,0.9966996699669967,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.6092943201376935,-5.003300330033003,-10.437177280550774
NO,9,0,1,1,10,1,2,30,40,taker_exit,581,303,0.5215146299483648,303,1.0,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.6161790017211706,-5.016501650165017,-10.464716006884682
NO,8,2,1,0,13,1,2,40,30,taker_exit,590,363,0.6152542372881356,356,0.9807162534435262,45.892561983471076,8,0.4490358126721763,-0.9889807162534435,-2.6254237288135593,-4.267217630853994,-10.501694915254237
